timestamp,symbol,binance_pair,drift_pair,bina_price,drift_price,gap_perc
2022-04-21 20:45:25,BTC,BTCUSDT,1,41568.05793855,41622.65824905016,-0.1313516031489221
2022-04-21 20:45:25,ETH,ETHUSDT,2,3064.47810032,3068.6104666113824,-0.1348473102467547
2022-04-21 20:45:25,LUNA,LUNAUSDT,3,97.32598968,97.33997321069847,-0.0143677251517902
2022-04-21 20:45:25,AVAX,AVAXUSDT,4,77.74,77.82798224815775,-0.1131750040619471
2022-04-21 20:45:25,BNB,BNBUSDT,5,417.13,417.28763178058426,-0.0377896052991316
2022-04-21 20:45:25,MATIC,MATICUSDT,6,1.43122266,1.4324779559712744,-0.0877079441485634
2022-04-21 20:45:25,ATOM,ATOMUSDT,7,24.26945029,24.328209885061987,-0.2421134156722001
2022-04-21 20:45:25,DOT,DOTUSDT,8,18.921,18.94754500719386,-0.1402938914109202
2022-04-21 20:45:25,ADA,ADAUSDT,9,0.94330584,0.9437203968316408,-0.0439472347209068
2022-04-21 20:45:25,ALGO,ALGOUSDT,10,0.7503,0.7509242361830079,-0.083198211783005
2022-04-21 20:45:25,FTT,FTTUSDT,11,43.35623746,43.42304106356693,-0.1540807216690721
2022-04-21 20:45:25,LTC,LTCUSDT,12,111.04912692,111.2120839138598,-0.1467431562764132
2022-04-21 20:45:25,XRP,XRPUSDT,13,0.7517,0.7532435391577486,-0.2053397841889742
2022-04-21 20:45:25,APE,APEUSDT,14,15.056,15.057658567447548,-0.0110159899544987
2022-04-21 20:45:25,DOGE,DOGEUSDT,15,0.13900028,0.1391031788154839,-0.0740277756879166
2022-04-21 20:45:25,NEAR,NEARUSDT,16,16.30304774,16.331377557858264,-0.1737700723819634
2022-04-21 20:45:30,SOL,SOLUSDT,0,106.33,106.42162886926414,-0.0861740517860825
2022-04-21 20:45:30,BTC,BTCUSDT,1,41568.0206152,41622.65824905016,-0.1314415097027223
2022-04-21 20:45:30,ETH,ETHUSDT,2,3064.47585312,3068.6104666113824,-0.1349207397791337
2022-04-21 20:45:30,LUNA,LUNAUSDT,3,97.32009097,97.33997321069847,-0.0204297391220298
2022-04-21 20:45:30,AVAX,AVAXUSDT,4,77.73,77.82798224815775,-0.1260546097488081
2022-04-21 20:45:30,BNB,BNBUSDT,5,417.14,417.28763178058426,-0.0353914226840573
2022-04-21 20:45:30,MATIC,MATICUSDT,6,1.43118502,1.4324779559712744,-0.0903402392567198
2022-04-21 20:45:30,ATOM,ATOMUSDT,7,24.27490686,24.328209885061987,-0.2195807603687173
2022-04-21 20:45:30,DOT,DOTUSDT,8,18.921,18.94754500719386,-0.1402938914109202
2022-04-21 20:45:30,ADA,ADAUSDT,9,0.9438,0.9437203968316408,0.0084343259545665
2022-04-21 20:45:30,ALGO,ALGOUSDT,10,0.7503,0.7509242361830079,-0.083198211783005
2022-04-21 20:45:30,FTT,FTTUSDT,11,43.35589383,43.42304106356693,-0.1548745225509928
2022-04-21 20:45:30,LTC,LTCUSDT,12,111.0479757,111.2120839138598,-0.1477813646087196
2022-04-21 20:45:30,XRP,XRPUSDT,13,0.7517,0.7532435391577486,-0.2053397841889742
2022-04-21 20:45:30,APE,APEUSDT,14,15.057,15.057658567447548,-0.0043738290997417
2022-04-21 20:45:30,DOGE,DOGEUSDT,15,0.13894208,0.1391031788154839,-0.1159467423288785
2022-04-21 20:45:30,NEAR,NEARUSDT,16,16.305,16.331377557858264,-0.1617758838286695
2022-04-21 20:45:35,SOL,SOLUSDT,0,106.30538889,106.42162886926414,-0.1093453309167764
2022-04-21 20:45:35,BTC,BTCUSDT,1,41562.81430429,41622.65824905016,-0.1439843421622828
2022-04-21 20:45:35,ETH,ETHUSDT,2,3064.40951842,3068.6104666113824,-0.1370883416896704
2022-04-21 20:45:35,LUNA,LUNAUSDT,3,97.31222753,97.33997321069847,-0.0285120188929327
2022-04-21 20:45:35,AVAX,AVAXUSDT,4,77.74,77.82798224815775,-0.1131750040619471
2022-04-21 20:45:35,BNB,BNBUSDT,5,417.09623289,417.28763178058426,-0.0458884246587598
